entitytype,authoritydoc,authoritydocconceptschemename
DISTURBANCE_CAUSE_TYPE.E55,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_CERTAINTY_TYPE.E55,DISTURBANCE_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EFFECT_TYPE.E55,DISTURBANCE_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_EXTENT_TYPE.E55,DISTURBANCE_EXTENT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_ARRANGEMENT_TYPE.E55,FEATURE_EVIDENCE_ARRANGEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE.E55,FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_INTERPRETATION_TYPE.E55,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_NUMBER_TYPE.E55,FEATURE_EVIDENCE_NUMBER_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_SHAPE_TYPE.E55,FEATURE_EVIDENCE_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_TYPE_CERTAINTY_TYPE.E55,FEATURE_EVIDENCE_TYPE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_FUNCTION_TYPE.E55,SITE_FUNCTION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_FUNCTION_CERTAINTY_TYPE.E55,SITE_FUNCTION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_LOCATION_CERTAINTY_TYPE.E55,SITE_LOCATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_MORPHOLOGY_TYPE.E55,SITE_MORPHOLOGY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_OVERALL_ARCHAEOLOGICAL_CERTAINTY_TYPE.E55,SITE_OVERALL_ARCHAEOLOGICAL_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_OVERALL_INTERPRETATION_TYPE.E55,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv, Eamena
SITE_OVERALL_SHAPE_TYPE.E55,SITE_OVERALL_SHAPE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_SIZE_CERTAINTY_TYPE.E55,SITE_SIZE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_EFFECT_CERTAINTY_TYPE.E55,THREAT_EFFECT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_EFFECT_TYPE.E55,THREAT_EFFECT_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_CERTAINTY_TYPE.E55,THREAT_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
PLACE_TOPOGRAPHY_TYPE.E55,PLACE_TOPOGRAPHY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_TYPE.E55,FEATURE_EVIDENCE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
GRIDSQUARE.E55,GRIDSQUARE_AUTHORITY_DOCUMENT.csv,Eamena
CULTURAL_PERIOD_CERTAINTY_TYPE.E55,CULTURAL_PERIOD_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
RELATIONSHIP_CERTAINTY_TYPE.E55,RELATIONSHIP_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_CAUSE_TYPE.E55,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FROM_DATE.E55,FROM_DATE_AUTHORITY_DOCUMENT.csv,Eamena
TO_DATE.E55,TO_DATE_AUTHORITY_DOCUMENT.csv,Eamena
DISTURBANCE_DATE_TYPE.E55,DISTURBANCE_DATE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
MAP_SOURCE_TYPE.E55,MAP_SOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_CAUSE_CERTAINTY_TYPE.E55,THREAT_CAUSE_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
THREAT_CAUSE_TYPE.E55,THREAT_CAUSE_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_OVERALL_INTERPRETATION_CERTAINTY_TYPE.E55,SITE_OVERALL_INTERPRETATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
SITE_OVERALL_INTERPRETATION_TYPE.E55,SITE_OVERALL_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_INTERPRETATION_2_CERTAINTY_TYPE.E55,FEATURE_EVIDENCE_INTERPRETATION_CERTAINTY_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
FEATURE_EVIDENCE_INTERPRETATION_2_TYPE.E55,FEATURE_EVIDENCE_INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.csv,Eamena
RESOURCE_TO_RESOURCE_RELATIONSHIP_TYPE.E55,RESOURCE_TO_RESOURCE_RELATIONSHIP_TYPE_AUTHORITY_DOCUMENT.CSV,Eamena
